,Crack_Spread,Crack_Z_Score,Basket_Return,SPY_Return,Rolling_Beta,Beta_Hedged_Return,VLO_Hedged_Return,MPC_Hedged_Return,PSX_Hedged_Return,DINO_Hedged_Return,PBF_Hedged_Return,DK_Hedged_Return,CVI_Hedged_Return
2016-11-08,12.871001243591309,-0.5706823014977577,-0.011340691790719098,0.004503792568658849,1.229746364084084,-0.016879214326616234,-0.011390077954114168,-0.025960541585755195,-0.0055430084573100825,-0.03326468826068115,-0.030411784405521735,-0.015715874963140822,-0.010459110656402596
2016-11-09,12.13560175895691,-0.8565677471264279,0.07569815743924341,0.010601968881329471,1.48610141342448,0.05994255649961733,0.053129498860363264,0.02231612261604647,0.01928696342190058,0.13929842908246468,0.1342366568239414,0.083883687039645,0.2284710034722792
2016-11-10,12.22920036315918,-0.8194771510573152,0.00689095924414454,0.00249556672327933,1.487063247212077,0.0031798936889903765,0.011741049776676105,0.0011359602548897379,0.004739362170712076,-0.009773391410192366,-0.0240070147527416,0.0182122043704788,0.0008576059710654589
2016-11-11,12.127202033996582,-0.8567339753924086,-0.0004519427489677148,-0.0023050397071484596,1.4896295578298924,0.0029817125307721897,-0.005069323935937117,0.007429982953724376,-0.007660485613609238,0.0007220133389267695,0.01836019162908587,0.05858523230808417,0.007743932979530107
2016-11-14,11.478798151016235,-1.10396443999545,0.009531610843066002,0.0007852908775729528,1.4902049804034325,0.008361366466241405,0.0010512036723505543,-0.0016678093812126464,0.012904340067592775,0.034611157205232244,0.03779138164350771,-0.020289533102188704,0.019064494579391196
2016-11-15,11.352200031280518,-1.1484254385796027,0.010488766086404012,0.007803080800233619,1.481715429064623,-0.0010731791295400667,-0.0010514687350776219,-0.008570860879732354,0.0021626183135347744,-0.005195651924723399,-0.0037618339362630454,0.026868425242665177,0.003119686458619344
2016-11-16,11.069601058959961,-1.2525453143638767,-0.00017302945848773324,-0.001878329865607653,1.473744164908546,0.002595148220724999,0.010025160894894927,-0.004382010770485659,-0.0060612192763212815,0.027810761967830548,-0.03024407045548809,0.014329524732663817,0.014286331961223224
2016-11-17,11.780600309371948,-0.9766496207692225,0.012330086779938592,0.005140836715380237,1.4924783937027222,0.0046574990566799175,0.00952013565789536,-0.012199877153502927,0.00364712710129308,-0.002286952742769341,0.03493860157988085,0.0400879241162318,0.017860432894596844
2016-11-18,11.503800868988037,-1.082468731799859,-0.0064785138542092285,-0.002237709261128762,1.4955173831604451,-0.0031319807557320493,-0.007633198128586378,0.002851280371204203,0.0005116223308496604,-0.0168565584474919,-0.017349361413979476,-0.012683747350173366,0.022458087677158234
2016-11-21,12.141603231430047,-0.8383578244562717,0.03910309766684235,0.007551561179402366,1.5629211033243835,0.02730060333650922,0.007951452501849542,0.07419007945374434,0.005153865689713511,0.04858463765687834,-0.012581718437230025,0.024655084274483405,0.0002924373526373373
2016-11-22,11.80600190162658,-0.9687443034589596,0.009700899005195617,0.001953139667776549,1.5695786147514281,0.0066352927510308374,0.00834986123899967,0.01096389730131844,-0.0022127470272106154,0.007969704603405722,0.0031848853140738513,0.012194769003597585,0.01588173393059639
2016-11-23,12.095597505569458,-0.8565303293245168,-0.007405012271104461,0.0005440109711294383,1.5738397182738046,-0.008261198344644675,-0.00886127438879368,-0.004426002010230912,0.0014360095353068772,-0.019481795461579875,-0.03637026334792522,-0.011050543784424915,-0.019583234518795036
2016-11-25,11.96399712562561,-0.9057896718836509,0.0009559774933969311,0.0037156287425732515,1.5612901792078897,-0.004845197171965247,-0.0028340605738566447,0.0028657251393236554,-0.00660480671202864,-0.018415306059647658,-0.017038884004512225,-0.003004698035583053,-0.007164038547106172
