,Strategy
2017-11-09,-0.0036276114878734
2017-11-10,-0.0003101340886161
2017-11-13,0.0009299482425133
2017-11-14,-0.0023223733454943
2017-11-15,-0.0050054354289368
2017-11-16,0.0085011190546697
2017-11-17,-0.0029387556767971
2017-11-20,0.0017061328136007
2017-11-21,0.0065429331161666
2017-11-22,-0.0008844138281949999
2017-11-24,0.0023097221175949
2017-11-27,-0.0004992018058269
2017-11-28,0.0101450383591059
2017-11-29,-0.000609045371096
2017-11-30,0.0087551559636727
2017-12-01,0.0
2017-12-04,0.0
2017-12-05,0.0
2017-12-06,0.0
2017-12-07,0.0
2017-12-08,0.0
2017-12-11,0.0
2017-12-12,0.0
2017-12-13,0.0
2017-12-14,0.0
2017-12-15,0.0
2017-12-18,0.0
2017-12-19,0.0
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,0.0
2017-12-26,0.0
2017-12-27,0.0
2017-12-28,0.0
2017-12-29,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,0.0
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,0.0
2018-02-15,0.0
2018-02-16,0.0
2018-02-20,0.0
2018-02-21,0.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,0.0
2018-03-01,-0.00823459314575574
2018-03-02,0.002896619018924197
2018-03-05,0.006468231512549794
2018-03-06,0.0002961667368949507
2018-03-07,0.0010923972526014612
2018-03-08,0.0033846390836206573
2018-03-09,0.01275378251240365
2018-03-12,-0.0008926214252038474
2018-03-13,-0.006242262615348636
2018-03-14,-0.0050148922653991835
2018-03-15,-0.0010898609805398
2018-03-16,0.0010844307715585
2018-03-19,-0.013530121281604902
2018-03-20,0.0017002823802931
2018-03-21,-0.0019190424479725
2018-03-22,-0.0249970516998714
2018-03-23,-0.01910274689684668
2018-03-26,0.022625602951302958
2018-03-27,-0.012819981407972714
2018-03-28,-0.002214975309821195
2018-03-29,0.009729389161652353
2018-04-02,0.0
2018-04-03,0.0
2018-04-04,0.0
2018-04-05,0.0
2018-04-06,0.0
2018-04-09,0.0
2018-04-10,0.0
2018-04-11,0.0
2018-04-12,0.0
2018-04-13,0.0
2018-04-16,0.0
2018-04-17,0.0
2018-04-18,0.0
2018-04-19,0.0
2018-04-20,0.0
2018-04-23,0.0
2018-04-24,0.0
2018-04-25,0.0
2018-04-26,0.0
2018-04-27,0.0
2018-04-30,0.0
2018-05-01,0.0
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,0.0
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-14,0.0
2018-05-15,0.0
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,0.0
2018-05-21,0.0
2018-05-22,0.0
2018-05-23,0.0
2018-05-24,0.0
2018-05-25,0.0
2018-05-29,0.0
2018-05-30,0.0
2018-05-31,0.0
2018-06-01,0.0008029658001457688
2018-06-04,0.0024454507264829676
2018-06-05,0.0007274925476299
2018-06-06,0.0083607100668967
2018-06-07,-0.0008513328759893333
2018-06-08,-0.003849363491355615
2018-06-11,0.0013295901304577
2018-06-12,0.0012926780086856997
2018-06-13,-0.001365166287950417
2018-06-14,-0.00408853582236625
2018-06-15,0.006186962105087384
2018-06-18,-0.002056860532388
2018-06-19,-0.0038324897596093
2018-06-20,0.0017056390037761
2018-06-21,-0.0062687747124205
2018-06-22,-0.001
2018-06-25,-0.008859846112208063
2018-06-26,-0.0010613656010798004
2018-06-27,-0.0130699215991518
2018-06-28,0.0057171878836179005
2018-06-29,0.0014399076062989
2018-07-02,0.0
2018-07-03,0.0
2018-07-05,0.0
2018-07-06,0.0
2018-07-09,0.0
2018-07-10,0.0
2018-07-11,0.0
2018-07-12,0.0
2018-07-13,0.0
2018-07-16,0.0
2018-07-17,0.0
2018-07-18,0.0
2018-07-19,0.0
2018-07-20,0.0
2018-07-23,0.0
2018-07-24,0.0
2018-07-25,0.0
2018-07-26,0.0
2018-07-27,0.0
2018-07-30,0.0
2018-07-31,0.0
2018-08-01,-0.001
2018-08-02,-0.0168377176973502
2018-08-03,0.0004044052279735005
2018-08-06,0.0036673449492998
2018-08-07,0.0033019209479959997
2018-08-08,-0.0004201473790325
2018-08-09,-0.0013657518337385
2018-08-10,-0.0067003715366752
2018-08-13,-0.0037432215575564
2018-08-14,0.0063805612675862
2018-08-15,-0.007467231372822501
2018-08-16,0.0080911815991135
2018-08-17,0.0035208295120565
2018-08-20,0.0021396636792663
2018-08-21,0.0023453433897793
2018-08-22,-0.0005940289256967
2018-08-23,-0.0013278235713222
2018-08-24,0.00016970790985071802
2018-08-27,7.817147004743521e-05
2018-08-28,-0.005910275098875314
2018-08-29,-0.0014857404102799987
2018-08-30,-0.012212338783295933
2018-08-31,3.446274417484574e-05
2018-09-04,-0.0017222488545973
2018-09-05,-0.0026913338859068
2018-09-06,-0.0030100647534743994
2018-09-07,-0.0019432912813832997
2018-09-10,0.0017383573718239
2018-09-11,0.0032973502521298
2018-09-12,0.00024240140578529997
2018-09-13,0.0059144451922688
2018-09-14,0.0001719996812981
2018-09-17,-0.0052944334991613
2018-09-18,0.0054262261617128
2018-09-19,0.0010657502175994
2018-09-20,0.0081032618107932
2018-09-21,-0.000913306390463
2018-09-24,-0.0033219230747592006
2018-09-25,-0.0009275371999807
2018-09-26,-0.0029923689353942
2018-09-27,0.0027943807774748
2018-09-28,0.0001030196774645
2018-10-01,0.0034741720366766
2018-10-02,-0.0005828311869588
2018-10-03,0.0005485423599009
2018-10-04,-0.0078155815127243
2018-10-05,-0.0055970222053998
2018-10-08,0.0
2018-10-09,-0.0014589169625464997
2018-10-10,-0.0316632755352436
2018-10-11,-0.0220267342884248
2018-10-12,0.0138885212497945
2018-10-15,-0.0037598254031476768
2018-10-16,0.0019366961632613041
2018-10-17,0.005344064529658814
2018-10-18,-0.012592613733899215
2018-10-19,-0.00045895128505662677
2018-10-22,-0.0038786315990996497
2018-10-23,-0.004398454430040824
2018-10-24,-0.02615453440295775
2018-10-25,0.01360849108808246
2018-10-26,-0.012430747211388149
2018-10-29,-0.0038369823783695567
2018-10-30,0.010288932778563542
2018-10-31,0.0071296044099074295
2018-11-01,0.006934752048472438
2018-11-02,-0.0037805738035556003
2018-11-05,0.0035274605276917133
2018-11-06,0.0040199082896425955
2018-11-07,0.01349771715481703
2018-11-08,-0.0010828391544648484
2018-11-09,-0.006500482965926187
2018-11-12,-0.013117126811414115
2018-11-13,-0.0012830755198494118
2018-11-14,-0.00470353677002139
2018-11-15,0.007695840938296714
2018-11-16,0.0018786839934311198
2018-11-19,-0.012542125010514724
2018-11-20,-0.013203334270964326
2018-11-21,0.002339253291812733
2018-11-23,-0.0045769606602257
2018-11-26,0.012519584155634905
2018-11-27,0.002637052801767804
2018-11-28,0.01906653662831009
2018-11-29,-0.0016773281253848631
2018-11-30,0.004809046595572136
2018-12-03,0.010572582787880884
2018-12-04,-0.02561255275960028
2018-12-06,-0.0010270301889330558
2018-12-07,-0.015799032122217827
2018-12-10,0.0012242508000416008
2018-12-11,0.00015687900507611811
2018-12-12,0.003474916763407142
2018-12-13,-0.00023395925336306021
2018-12-14,-0.013262120947244032
2018-12-17,-0.013544595358732061
2018-12-18,-0.0007301875138397276
2018-12-19,-0.010196222649962429
2018-12-20,-0.01095199257828741
2018-12-21,-0.013813948422901522
2018-12-24,-0.0176762211494714
2018-12-26,0.032211821967864075
2018-12-27,-0.0345485676903984
2018-12-28,-0.0006461645756156486
2018-12-31,0.004399165796361293
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.0
2019-01-07,0.0
2019-01-08,0.0
2019-01-09,0.0
2019-01-10,0.0
2019-01-11,0.0
2019-01-14,0.0
2019-01-15,0.0
2019-01-16,0.0
